2022-05-30T15:22:51.467423+0800 | INFO | rizhi1 | 15 | 这是一条debug(普通)日志
2022-05-30T15:22:51.468427+0800 | WARNING | rizhi1 | 16 | 这是一条debug(警告)日志
2022-05-30T15:22:51.468427+0800 | SUCCESS | rizhi1 | 17 | 这是一条debug(成功)日志
2022-05-30T15:22:51.468427+0800 | ERROR | rizhi1 | 18 | 这是一条debug(错误)日志
2022-05-30T15:22:51.468427+0800 | INFO | rizhi1 | 20 | 我的名字叫张三
2022-05-30T15:23:23.755806+0800 | INFO | rizhi1 | 15 | 这是一条debug(普通)日志
2022-05-30T15:23:23.755806+0800 | WARNING | rizhi1 | 16 | 这是一条debug(警告)日志
2022-05-30T15:23:23.755806+0800 | SUCCESS | rizhi1 | 17 | 这是一条debug(成功)日志
2022-05-30T15:23:23.756804+0800 | ERROR | rizhi1 | 18 | 这是一条debug(错误)日志
2022-05-30T15:23:23.757802+0800 | INFO | rizhi1 | 20 | 我的名字叫张三
2022-05-30T15:23:47.477557+0800 | INFO | rizhi1 | 15 | 这是一条debug(普通)日志
2022-05-30T15:23:47.477557+0800 | WARNING | rizhi1 | 16 | 这是一条debug(警告)日志
2022-05-30T15:23:47.478558+0800 | SUCCESS | rizhi1 | 17 | 这是一条debug(成功)日志
2022-05-30T15:23:47.478558+0800 | ERROR | rizhi1 | 18 | 这是一条debug(错误)日志
2022-05-30T15:23:47.478558+0800 | ERROR | rizhi1 | 20 | 我的名字叫张三
2022-05-30T15:27:00.963601+0800 | INFO | rizhi1 | 15 | 这是一条debug(普通)日志
2022-05-30T15:27:00.963601+0800 | WARNING | rizhi1 | 16 | 这是一条debug(警告)日志
2022-05-30T15:27:00.964597+0800 | SUCCESS | rizhi1 | 17 | 这是一条debug(成功)日志
2022-05-30T15:27:00.964597+0800 | ERROR | rizhi1 | 18 | 这是一条debug(错误)日志
2022-05-30T15:27:00.964597+0800 | ERROR | rizhi1 | 20 | 我的名字叫张三
